sample_fp	plate	round
/mnt/data/whitney/input_ph/plate_1/round_1/_2025-12-09_07-15-37.442284/0/coordinates.csv	1	1
/mnt/data/whitney/input_ph/plate_2/round_1/_2025-12-09_11-04-08.483641/0/coordinates.csv	2	1
