plate	round	well	tile	z	channel
1	1	A1	49	0	638_nm
1	1	A1	50	0	405_nm
1	1	A1	50	0	488_nm
1	1	A1	50	0	561_nm
1	1	A1	50	0	638_nm
1	1	A1	51	0	405_nm
1	1	A1	51	0	488_nm
1	1	A1	51	0	561_nm
1	1	A1	51	0	638_nm
1	1	A1	52	0	405_nm
1	1	A1	52	0	488_nm
1	1	A1	52	0	561_nm
1	1	A1	52	0	638_nm
1	1	A1	53	0	405_nm
1	1	A1	53	0	488_nm
1	1	A1	53	0	561_nm
1	1	A1	53	0	638_nm
1	1	A1	54	0	405_nm
1	1	A1	54	0	488_nm
1	1	A1	54	0	561_nm
1	1	A1	54	0	638_nm
1	1	A1	55	0	405_nm
1	1	A1	55	0	488_nm
1	1	A1	55	0	561_nm
1	1	A1	55	0	638_nm
1	1	A1	56	0	405_nm
1	1	A1	56	0	488_nm
1	1	A1	56	0	561_nm
1	1	A1	56	0	638_nm
1	1	A1	57	0	405_nm
1	1	A1	57	0	488_nm
1	1	A1	57	0	561_nm
1	1	A1	57	0	638_nm
1	1	A1	58	0	405_nm
1	1	A1	58	0	488_nm
1	1	A1	58	0	561_nm
1	1	A1	58	0	638_nm
1	1	A1	59	0	405_nm
1	1	A1	59	0	488_nm
1	1	A1	59	0	561_nm
1	1	A1	59	0	638_nm
1	1	A1	60	0	405_nm
1	1	A1	60	0	488_nm
1	1	A1	60	0	561_nm
1	1	A1	60	0	638_nm
1	1	A1	61	0	405_nm
1	1	A1	61	0	488_nm
1	1	A1	61	0	561_nm
1	1	A1	61	0	638_nm
1	1	A1	62	0	405_nm
1	1	A1	62	0	488_nm
1	1	A1	62	0	561_nm
1	1	A1	62	0	638_nm
1	1	A1	63	0	405_nm
1	1	A1	63	0	488_nm
1	1	A1	63	0	561_nm
1	1	A1	63	0	638_nm
1	1	A1	64	0	405_nm
1	1	A1	64	0	488_nm
1	1	A1	64	0	561_nm
1	1	A1	64	0	638_nm
1	1	A1	65	0	405_nm
1	1	A1	65	0	488_nm
1	1	A1	65	0	561_nm
1	1	A1	65	0	638_nm
1	1	A1	66	0	405_nm
1	1	A1	66	0	488_nm
1	1	A1	66	0	561_nm
1	1	A1	66	0	638_nm
1	1	A1	67	0	405_nm
1	1	A1	67	0	488_nm
1	1	A1	67	0	561_nm
1	1	A1	67	0	638_nm
1	1	A1	68	0	405_nm
1	1	A1	68	0	488_nm
1	1	A1	68	0	561_nm
1	1	A1	68	0	638_nm
1	1	A1	69	0	405_nm
1	1	A1	69	0	488_nm
1	1	A1	69	0	561_nm
1	1	A1	69	0	638_nm
1	1	A1	70	0	405_nm
1	1	A1	70	0	488_nm
1	1	A1	70	0	561_nm
1	1	A1	70	0	638_nm
1	1	A1	71	0	405_nm
1	1	A1	71	0	488_nm
1	1	A1	71	0	561_nm
1	1	A1	71	0	638_nm
1	1	A1	72	0	405_nm
1	1	A1	72	0	488_nm
1	1	A1	72	0	561_nm
1	1	A1	72	0	638_nm
1	1	A1	73	0	405_nm
1	1	A1	73	0	488_nm
1	1	A1	73	0	561_nm
1	1	A1	73	0	638_nm
1	1	A1	74	0	405_nm
1	1	A1	74	0	488_nm
1	1	A1	74	0	561_nm
1	1	A1	74	0	638_nm
1	1	A1	75	0	405_nm
1	1	A1	75	0	488_nm
1	1	A1	75	0	561_nm
1	1	A1	75	0	638_nm
1	1	A1	76	0	405_nm
1	1	A1	76	0	488_nm
1	1	A1	76	0	561_nm
1	1	A1	76	0	638_nm
1	1	A1	77	0	405_nm
1	1	A1	77	0	488_nm
1	1	A1	77	0	561_nm
1	1	A1	77	0	638_nm
1	1	A1	78	0	405_nm
1	1	A1	78	0	488_nm
1	1	A1	78	0	561_nm
1	1	A1	78	0	638_nm
1	1	A1	79	0	405_nm
1	1	A1	79	0	488_nm
1	1	A1	79	0	561_nm
1	1	A1	79	0	638_nm
1	1	A1	80	0	405_nm
1	1	A1	80	0	488_nm
1	1	A1	80	0	561_nm
1	1	A1	80	0	638_nm
1	1	A1	81	0	405_nm
1	1	A1	81	0	488_nm
1	1	A1	81	0	561_nm
1	1	A1	81	0	638_nm
1	1	A1	82	0	405_nm
1	1	A1	82	0	488_nm
1	1	A1	82	0	561_nm
1	1	A1	82	0	638_nm
1	1	A1	83	0	405_nm
1	1	A1	83	0	488_nm
1	1	A1	83	0	561_nm
1	1	A1	83	0	638_nm
1	1	A1	84	0	405_nm
1	1	A1	84	0	488_nm
1	1	A1	84	0	561_nm
1	1	A1	84	0	638_nm
1	1	A1	85	0	405_nm
1	1	A1	85	0	488_nm
1	1	A1	85	0	561_nm
1	1	A1	85	0	638_nm
1	1	A1	86	0	405_nm
1	1	A1	86	0	488_nm
1	1	A1	86	0	561_nm
1	1	A1	86	0	638_nm
1	1	A1	87	0	405_nm
1	1	A1	87	0	488_nm
1	1	A1	87	0	561_nm
1	1	A1	87	0	638_nm
1	1	A1	88	0	405_nm
1	1	A1	88	0	488_nm
1	1	A1	88	0	561_nm
1	1	A1	88	0	638_nm
1	1	A1	89	0	405_nm
1	1	A1	89	0	488_nm
1	1	A1	89	0	561_nm
1	1	A1	89	0	638_nm
1	1	A1	90	0	405_nm
1	1	A1	90	0	488_nm
1	1	A1	90	0	561_nm
1	1	A1	90	0	638_nm
1	1	A1	91	0	405_nm
1	1	A1	91	0	488_nm
1	1	A1	91	0	561_nm
1	1	A1	91	0	638_nm
1	1	A1	92	0	405_nm
1	1	A1	92	0	488_nm
1	1	A1	92	0	561_nm
1	1	A1	92	0	638_nm
1	1	A1	93	0	405_nm
1	1	A1	93	0	488_nm
1	1	A1	93	0	561_nm
1	1	A1	93	0	638_nm
1	1	A1	94	0	405_nm
1	1	A1	94	0	488_nm
1	1	A1	94	0	561_nm
1	1	A1	94	0	638_nm
1	1	A1	95	0	405_nm
1	1	A1	95	0	488_nm
1	1	A1	95	0	561_nm
1	1	A1	95	0	638_nm
1	1	A1	96	0	405_nm
1	1	A1	96	0	488_nm
1	1	A1	96	0	561_nm
1	1	A1	96	0	638_nm
1	1	A1	97	0	405_nm
1	1	A1	97	0	488_nm
1	1	A1	97	0	561_nm
1	1	A1	97	0	638_nm
1	1	A1	98	0	405_nm
1	1	A1	98	0	488_nm
1	1	A1	98	0	561_nm
1	1	A1	98	0	638_nm
1	1	A1	99	0	405_nm
1	1	A1	99	0	488_nm
1	1	A1	99	0	561_nm
1	1	A1	99	0	638_nm
1	1	A1	100	0	405_nm
1	1	A1	100	0	488_nm
1	1	A1	100	0	561_nm
1	1	A1	100	0	638_nm
1	1	A1	101	0	405_nm
1	1	A1	101	0	488_nm
1	1	A1	101	0	561_nm
1	1	A1	101	0	638_nm
1	1	A1	102	0	405_nm
1	1	A1	102	0	488_nm
1	1	A1	102	0	561_nm
1	1	A1	102	0	638_nm
1	1	A1	103	0	405_nm
1	1	A1	103	0	488_nm
1	1	A1	103	0	561_nm
1	1	A1	103	0	638_nm
1	1	A1	104	0	405_nm
1	1	A1	104	0	488_nm
1	1	A1	104	0	561_nm
1	1	A1	104	0	638_nm
1	1	A1	105	0	405_nm
1	1	A1	105	0	488_nm
1	1	A1	105	0	561_nm
1	1	A1	105	0	638_nm
1	1	A1	106	0	405_nm
1	1	A1	106	0	488_nm
1	1	A1	106	0	561_nm
1	1	A1	106	0	638_nm
1	1	A1	107	0	405_nm
1	1	A1	107	0	488_nm
1	1	A1	107	0	561_nm
1	1	A1	107	0	638_nm
1	1	A1	108	0	405_nm
1	1	A1	108	0	488_nm
1	1	A1	108	0	561_nm
1	1	A1	108	0	638_nm
1	1	A1	109	0	405_nm
1	1	A1	109	0	488_nm
1	1	A1	109	0	561_nm
1	1	A1	109	0	638_nm
1	1	A1	110	0	405_nm
1	1	A1	110	0	488_nm
1	1	A1	110	0	561_nm
1	1	A1	110	0	638_nm
1	1	A1	111	0	405_nm
1	1	A1	111	0	488_nm
1	1	A1	111	0	561_nm
1	1	A1	111	0	638_nm
1	1	A1	112	0	405_nm
1	1	A1	112	0	488_nm
1	1	A1	112	0	561_nm
1	1	A1	112	0	638_nm
1	1	A1	113	0	405_nm
1	1	A1	113	0	488_nm
1	1	A1	113	0	561_nm
1	1	A1	113	0	638_nm
1	1	A1	114	0	405_nm
1	1	A1	114	0	488_nm
1	1	A1	114	0	561_nm
1	1	A1	114	0	638_nm
1	1	A1	115	0	405_nm
1	1	A1	115	0	488_nm
1	1	A1	115	0	561_nm
1	1	A1	115	0	638_nm
1	1	A1	116	0	405_nm
1	1	A1	116	0	488_nm
1	1	A1	116	0	561_nm
1	1	A1	116	0	638_nm
1	1	A1	117	0	405_nm
1	1	A1	117	0	488_nm
1	1	A1	117	0	561_nm
1	1	A1	117	0	638_nm
1	1	A1	118	0	405_nm
1	1	A1	118	0	488_nm
1	1	A1	118	0	561_nm
1	1	A1	118	0	638_nm
1	1	A1	119	0	405_nm
1	1	A1	119	0	488_nm
1	1	A1	119	0	561_nm
1	1	A1	119	0	638_nm
1	1	A1	120	0	405_nm
1	1	A1	120	0	488_nm
1	1	A1	120	0	561_nm
1	1	A1	120	0	638_nm
1	1	A1	121	0	405_nm
1	1	A1	121	0	488_nm
1	1	A1	121	0	561_nm
1	1	A1	121	0	638_nm
1	1	A1	122	0	405_nm
1	1	A1	122	0	488_nm
1	1	A1	122	0	561_nm
1	1	A1	122	0	638_nm
1	1	A1	123	0	405_nm
1	1	A1	123	0	488_nm
1	1	A1	123	0	561_nm
1	1	A1	123	0	638_nm
1	1	A1	124	0	405_nm
1	1	A1	124	0	488_nm
1	1	A1	124	0	561_nm
1	1	A1	124	0	638_nm
1	1	A1	125	0	405_nm
1	1	A1	125	0	488_nm
1	1	A1	125	0	561_nm
1	1	A1	125	0	638_nm
1	1	A1	126	0	405_nm
1	1	A1	126	0	488_nm
1	1	A1	126	0	561_nm
1	1	A1	126	0	638_nm
1	1	A1	127	0	405_nm
1	1	A1	127	0	488_nm
