gene_symbol_0
COQ2
SDHD
ARID1A
MBTPS2
NPIPB13
RIC1
DDX52
OR3A3
CASC3
CRYGB
PILRA
FGFR1OP
MRPS15
PSMG1
DHX36
DDX19B
MRPS6
PSG8
PIK3CG
DCTN5
TM2D2
ANP32E
RASGRP2
CLPTM1
COPS8
ZNF431
RFWD3
FBXL17
VDAC2
SEC23IP
COX10
IER3IP1
DACT3
ZBED2
ZBTB4
ALG12
DDX46
MUC16
CIAPIN1
ARMH3
BRCA2
INTS8
TXNL4B
CEP350
PWP1
MRPL51
IFNLR1
SDHC
NMNAT1
HBS1L
ARHGEF28
MICU1
RLF
ORC5
NSF
ANKHD1-EIF4EBP3
SEC23B
NFE2L2
MYH9
TRMT5
DTHD1
MARS1
DLG4
DCAF13
PCMTD2
ZPBP2
NBEAL1
GBF1
SFR1
RTKN
PALB2
IREB2
EPS15L1
BRAF
GATB
MED6
GNPNAT1
PPP2CA
GARS1
INTS9
MTERF3
ZNF253
MRPL42
DHX29
PQBP1
VWA7
RNF181
TMEM130
MIS12
CCDC58
ITGA3
EMC1
SAAL1
CCP110
CSNK2A1
NCAPD2
KRTAP19-8
RIOX2
TCP1
CMTR2
ZFP57
FNTA
ALS2CL
SINHCAF
DOCK6
POTED
DHX9
CRYBB3
MCM9
FUS
SLC1A5
CYCS
ATP6V1D
MCM3
OR7G1
TAF13
RAD1
SNRPB2
EGR2
UBALD1
ARID4B
SIMC1
NDUFB3
TAF15
SLC35D1
DPH6
KIF13B
RNASEH2B
PHB
FRG1
GOLGA6L9
CPSF7
CMIP
MUS81
PHF20
GTF3C3
CCND2
USP17L13
RNF115
ORC2
ZNF714
HEATR1
SMCR8
CHMP4C
LAMTOR3
DYNLT1
UFSP2
RTCB
TIAL1
PHF23
KRT2
STARD8
KBTBD2
COQ3
SDHB
KANSL3
PAN2
RUNX1
UBA6
ZW10
FAM210A
CMYA5
NOC3L
ERICH6B
GOSR2
NR4A2
RBMX2
ANKS6
CS
PTTG1
OR4D2
TAF1C
